Freq.	V(n001)/I(Re)
1.00000000000000e+001	-1.24124906976143e+001    -8.42015105488530e-001
1.00230523807790e+001	-1.24125284765650e+001    -8.43983926365627e-001
1.00461579027840e+001	-1.24125664350046e+001    -8.45957480426506e-001
1.00693166885180e+001	-1.24126045738096e+001    -8.47935779944660e-001
1.00925288607668e+001	-1.24126428938611e+001    -8.49918837243589e-001
1.01157945425990e+001	-1.24126813960447e+001    -8.51906664682221e-001
1.01391138573668e+001	-1.24127200812505e+001    -8.53899274654073e-001
1.01624869287070e+001	-1.24127589503733e+001    -8.55896679597172e-001
1.01859138805412e+001	-1.24127980043122e+001    -8.57898891981391e-001
1.02093948370768e+001	-1.24128372439713e+001    -8.59905924322979e-001
1.02329299228075e+001	-1.24128766702592e+001    -8.61917789171821e-001
1.02565192625141e+001	-1.24129162840892e+001    -8.63934499117813e-001
1.02801629812647e+001	-1.24129560863792e+001    -8.65956066793622e-001
1.03038612044162e+001	-1.24129960780519e+001    -8.67982504862787e-001
1.03276140576140e+001	-1.24130362600349e+001    -8.70013826043473e-001
1.03514216667934e+001	-1.24130766332603e+001    -8.72050043078367e-001
1.03752841581801e+001	-1.24131171986654e+001    -8.74091168757479e-001
1.03992016582906e+001	-1.24131579571920e+001    -8.76137215912650e-001
1.04231742939330e+001	-1.24131989097869e+001    -8.78188197412112e-001
1.04472021922080e+001	-1.24132400574017e+001    -8.80244126166865e-001
1.04712854805090e+001	-1.24132814009932e+001    -8.82305015125210e-001
1.04954242865232e+001	-1.24133229415229e+001    -8.84370877282753e-001
1.05196187382322e+001	-1.24133646799572e+001    -8.86441725670596e-001
1.05438689639126e+001	-1.24134066172679e+001    -8.88517573363508e-001
1.05681750921366e+001	-1.24134487544314e+001    -8.90598433476306e-001
1.05925372517729e+001	-1.24134910924295e+001    -8.92684319166585e-001
1.06169555719872e+001	-1.24135336322488e+001    -8.94775243632889e-001
1.06414301822431e+001	-1.24135763748813e+001    -8.96871220118341e-001
1.06659612123026e+001	-1.24136193213239e+001    -8.98972261903413e-001
1.06905487922266e+001	-1.24136624725789e+001    -9.01078382316793e-001
1.07151930523761e+001	-1.24137058296538e+001    -9.03189594720874e-001
1.07398941234124e+001	-1.24137493935610e+001    -9.05305912532645e-001
1.07646521362983e+001	-1.24137931653187e+001    -9.07427349200057e-001
1.07894672222983e+001	-1.24138371459499e+001    -9.09553918225674e-001
1.08143395129794e+001	-1.24138813364833e+001    -9.11685633142134e-001
1.08392691402120e+001	-1.24139257379529e+001    -9.13822507538485e-001
1.08642562361706e+001	-1.24139703513978e+001    -9.15964555042957e-001
1.08893009333343e+001	-1.24140151778628e+001    -9.18111789318378e-001
1.09144033644875e+001	-1.24140602183982e+001    -9.20264224079468e-001
1.09395636627209e+001	-1.24141054740595e+001    -9.22421873094673e-001
1.09647819614318e+001	-1.24141509459081e+001    -9.24584750161603e-001
1.09900583943252e+001	-1.24141966350105e+001    -9.26752869127038e-001
1.10153930954141e+001	-1.24142425424392e+001    -9.28926243882373e-001
1.10407861990207e+001	-1.24142886692721e+001    -9.31104888370017e-001
1.10662378397766e+001	-1.24143350165927e+001    -9.33288816569724e-001
1.10917481526240e+001	-1.24143815854903e+001    -9.35478042510438e-001
1.11173172728159e+001	-1.24144283770599e+001    -9.37672580262099e-001
1.11429453359173e+001	-1.24144753924021e+001    -9.39872443949293e-001
1.11686324778056e+001	-1.24145226326235e+001    -9.42077647737606e-001
1.11943788346715e+001	-1.24145700988363e+001    -9.44288205832721e-001
1.12201845430196e+001	-1.24146177921587e+001    -9.46504132500423e-001
1.12460497396692e+001	-1.24146657137147e+001    -9.48725442036610e-001
1.12719745617551e+001	-1.24147138646341e+001    -9.50952148799093e-001
1.12979591467279e+001	-1.24147622460529e+001    -9.53184267185792e-001
1.13240036323555e+001	-1.24148108591129e+001    -9.55421811635655e-001
1.13501081567231e+001	-1.24148597049620e+001    -9.57664796651371e-001
1.13762728582343e+001	-1.24149087847540e+001    -9.59913236766662e-001
1.14024978756117e+001	-1.24149580996490e+001    -9.62167146573552e-001
