Freq.	V(n004)
1.00000000000000e+001	7.51524387468914e-003    3.41638408269600e-002
1.00230523807790e+001	7.52762648381480e-003    3.42428219377084e-002
1.00461579027840e+001	7.54006724190305e-003    3.43219866277801e-002
1.00693166885180e+001	7.55256642656649e-003    3.44013353301253e-002
1.00925288607668e+001	7.56512431681753e-003    3.44808684787424e-002
1.01157945425990e+001	7.57774119303522e-003    3.45605865086909e-002
1.01391138573668e+001	7.59041733697057e-003    3.46404898560983e-002
1.01624869287070e+001	7.60315303177918e-003    3.47205789581512e-002
1.01859138805412e+001	7.61594856199439e-003    3.48008542531111e-002
1.02093948370768e+001	7.62880421357347e-003    3.48813161803050e-002
1.02329299228075e+001	7.64172027386960e-003    3.49619651801378e-002
1.02565192625141e+001	7.65469703165617e-003    3.50428016940905e-002
1.02801629812647e+001	7.66773477714194e-003    3.51238261647221e-002
1.03038612044162e+001	7.68083380194389e-003    3.52050390356793e-002
1.03276140576140e+001	7.69399439916164e-003    3.52864407516838e-002
1.03514216667934e+001	7.70721686329965e-003    3.53680317585565e-002
1.03752841581801e+001	7.72050149033852e-003    3.54498125032044e-002
1.03992016582906e+001	7.73384857772635e-003    3.55317834336262e-002
1.04231742939330e+001	7.74725842437097e-003    3.56139449989206e-002
1.04472021922080e+001	7.76073133066507e-003    3.56962976492844e-002
1.04712854805090e+001	7.77426759847798e-003    3.57788418360195e-002
1.04954242865232e+001	7.78786753119107e-003    3.58615780115273e-002
1.05196187382322e+001	7.80153143367210e-003    3.59445066293226e-002
1.05438689639126e+001	7.81525961230522e-003    3.60276281440283e-002
1.05681750921366e+001	7.82905237498853e-003    3.61109430113829e-002
1.05925372517729e+001	7.84291003114931e-003    3.61944516882410e-002
1.06169555719872e+001	7.85683289174608e-003    3.62781546325773e-002
1.06414301822431e+001	7.87082126928644e-003    3.63620523034862e-002
1.06659612123026e+001	7.88487547781459e-003    3.64461451611930e-002
1.06905487922266e+001	7.89899583294937e-003    3.65304336670454e-002
1.07151930523761e+001	7.91318265185080e-003    3.66149182835307e-002
1.07398941234124e+001	7.92743625328761e-003    3.66995994742601e-002
1.07646521362983e+001	7.94175695757695e-003    3.67844777039922e-002
1.07894672222983e+001	7.95614508666056e-003    3.68695534386157e-002
1.08143395129794e+001	7.97060096404170e-003    3.69548271451749e-002
1.08392691402120e+001	7.98512491486912e-003    3.70402992918478e-002
1.08642562361706e+001	7.99971726589545e-003    3.71259703479665e-002
1.08893009333343e+001	8.01437834547121e-003    3.72118407840228e-002
1.09144033644875e+001	8.02910848360352e-003    3.72979110716565e-002
1.09395636627209e+001	8.04390801197001e-003    3.73841816836579e-002
1.09647819614318e+001	8.05877726385452e-003    3.74706530939916e-002
1.09900583943252e+001	8.07371657421410e-003    3.75573257777827e-002
1.10153930954141e+001	8.08872627967354e-003    3.76442002113229e-002
1.10407861990207e+001	8.10380671855317e-003    3.77312768720695e-002
1.10662378397766e+001	8.11895823083623e-003    3.78185562386598e-002
1.10917481526240e+001	8.13418115821258e-003    3.79060387909043e-002
1.11173172728159e+001	8.14947584406254e-003    3.79937250097969e-002
1.11429453359173e+001	8.16484263350626e-003    3.80816153775064e-002
1.11686324778056e+001	8.18028187337138e-003    3.81697103773912e-002
1.11943788346715e+001	8.19579391219870e-003    3.82580104940040e-002
1.12201845430196e+001	8.21137910031101e-003    3.83465162130767e-002
1.12460497396692e+001	8.22703778973161e-003    3.84352280215516e-002
1.12719745617551e+001	8.24277033428850e-003    3.85241464075547e-002
1.12979591467279e+001	8.25857708955765e-003    3.86132718604191e-002
1.13240036323555e+001	8.27445841287440e-003    3.87026048706885e-002
1.13501081567231e+001	8.29041466341117e-003    3.87921459300984e-002
1.13762728582343e+001	8.30644620208710e-003    3.88818955316103e-002
1.14024978756117e+001	8.32255339166004e-003    3.89718541693900e-002
1.14287833478977e+001	8.33873659669354e-003    3.90620223388223e-002
1.14551294144553e+001	8.35499618356076e-003    3.91524005365175e-002
1.14815362149688e+001	8.37133252050922e-003    3.92429892602974e-002
1.15080038894443e+001	8.38774597759452e-003    3.93337890092210e-002
1.15345325782109e+001	8.40423692675682e-003    3.94248002835684e-002
1.15611224219210e+001	8.42080574177971e-003    3.95160235848594e-002
1.15877735615512e+001	8.43745279834121e-003    3.96074594158427e-002
1.16144861384034e+001	8.45417847396714e-003    3.96991082805183e-002
1.16412602941049e+001	8.47098314814229e-003    3.97909706841089e-002
1.16680961706096e+001	8.48786720220115e-003    3.98830471331004e-002
1.16949939101987e+001	8.50483101941048e-003    3.99753381352213e-002
1.17219536554813e+001	8.52187498499674e-003    4.00678441994423e-002
1.17489755493953e+001	8.53899948606455e-003    4.01605658360080e-002
1.17760597352080e+001	8.55620491171433e-003    4.02535035564056e-002
1.18032063565173e+001	8.57349165297784e-003    4.03466578733919e-002
1.18304155572516e+001	8.59086010285711e-003    4.04400293009888e-002
1.18576874816716e+001	8.60831065635664e-003    4.05336183544779e-002
1.18850222743701e+001	8.62584371044806e-003    4.06274255504206e-002
1.19124200802737e+001	8.64345966409091e-003    4.07214514066559e-002
1.19398810446427e+001	8.66115891830061e-003    4.08156964422866e-002
1.19674053130724e+001	8.67894187607828e-003    4.09101611777094e-002
1.19949930314937e+001	8.69680894244872e-003    4.10048461346073e-002
1.20226443461741e+001	8.71476052452357e-003    4.10997518359379e-002
1.20503594037179e+001	8.73279703142471e-003    4.11948788059653e-002
1.20781383510678e+001	8.75091887438668e-003    4.12902275702313e-002
1.21059813355048e+001	8.76912646666939e-003    4.13857986555948e-002
1.21338885046497e+001	8.78742022366629e-003    4.14815925901988e-002
1.21618600064636e+001	8.80580056284614e-003    4.15776099035008e-002
1.21898959892486e+001	8.82426790379795e-003    4.16738511262627e-002
1.22179966016487e+001	8.84282266821803e-003    4.17703167905622e-002
1.22461619926504e+001	8.86146527996856e-003    4.18670074297825e-002
1.22743923115840e+001	8.88019616501663e-003    4.19639235786371e-002
1.23026877081238e+001	8.89901575153471e-003    4.20610657731464e-002
1.23310483322890e+001	8.91792446982150e-003    4.21584345506679e-002
1.23594743344450e+001	8.93692275238593e-003    4.22560304498807e-002
1.23879658653036e+001	8.95601103390852e-003    4.23538540107999e-002
1.24165230759240e+001	8.97518975129571e-003    4.24519057747702e-002
1.24451461177138e+001	8.99445934365445e-003    4.25501862844794e-002
1.24738351424294e+001	9.01382025232188e-003    4.26486960839577e-002
1.25025903021771e+001	9.03327292089993e-003    4.27474357185719e-002
1.25314117494141e+001	9.05281779521964e-003    4.28464057350466e-002
1.25602996369487e+001	9.07245532338764e-003    4.29456066814548e-002
1.25892541179416e+001	9.09218595576170e-003    4.30450391072335e-002
1.26182753459066e+001	9.11201014506016e-003    4.31447035631580e-002
1.26473634747114e+001	9.13192834621999e-003    4.32446006013912e-002
1.26765186585784e+001	9.15194101656234e-003    4.33447307754415e-002
1.27057410520853e+001	9.17204861568740e-003    4.34450946402026e-002
1.27350308101665e+001	9.19225160559068e-003    4.35456927519237e-002
1.27643880881134e+001	9.21255045055206e-003    4.36465256682535e-002
1.27938130415752e+001	9.23294561729513e-003    4.37475939481949e-002
1.28233058265601e+001	9.25343757485796e-003    4.38488981521568e-002
1.28528665994361e+001	9.27402679471591e-003    4.39504388419198e-002
1.28824955169313e+001	9.29471375073262e-003    4.40522165806623e-002
1.29121927361353e+001	9.31549891920224e-003    4.41542319329516e-002
1.29419584144998e+001	9.33638277883802e-003    4.42564854647587e-002
1.29717927098395e+001	9.35736581081515e-003    4.43589777434498e-002
1.30016957803328e+001	9.37844849875207e-003    4.44617093378013e-002
1.30316677845229e+001	9.39963132876100e-003    4.45646808179917e-002
1.30617088813183e+001	9.42091478942863e-003    4.46678927556145e-002
1.30918192299940e+001	9.44229937186793e-003    4.47713457236729e-002
1.31219989901920e+001	9.46378556963974e-003    4.48750402966065e-002
1.31522483219223e+001	9.48537387892065e-003    4.49789770502526e-002
1.31825673855640e+001	9.50706479838768e-003    4.50831565618877e-002
1.32129563418657e+001	9.52885882926231e-003    4.51875794102202e-002
1.32434153519466e+001	9.55075647537000e-003    4.52922461753836e-002
1.32739445772973e+001	9.57275824310048e-003    4.53971574389530e-002
1.33045441797808e+001	9.59486464144757e-003    4.55023137839429e-002
1.33352143216332e+001	9.61707618201641e-003    4.56077157948144e-002
1.33659551654643e+001	9.63939337906792e-003    4.57133640574654e-002
1.33967668742593e+001	9.66181674946830e-003    4.58192591592570e-002
1.34276496113785e+001	9.68434681276823e-003    4.59254016889995e-002
1.34586035405594e+001	9.70698409117601e-003    4.60317922369640e-002
1.34896288259164e+001	9.72972910961773e-003    4.61384313948750e-002
1.35207256319427e+001	9.75258239569235e-003    4.62453197559319e-002
1.35518941235103e+001	9.77554447970515e-003    4.63524579148082e-002
1.35831344658714e+001	9.79861589475972e-003    4.64598464676278e-002
1.36144468246594e+001	9.82179717662888e-003    4.65674860120183e-002
1.36458313658891e+001	9.84508886391245e-003    4.66753771470668e-002
1.36772882559584e+001	9.86849149797939e-003    4.67835204733472e-002
1.37088176616484e+001	9.89200562294239e-003    4.68919165929376e-002
1.37404197501251e+001	9.91563178579816e-003    4.70005661093840e-002
1.37720946889394e+001	9.93937053630905e-003    4.71094696277466e-002
1.38038426460287e+001	9.96322242712436e-003    4.72186277545700e-002
1.38356637897177e+001	9.98718801375486e-003    4.73280410979003e-002
1.38675582887188e+001	1.00112678545272e-002    4.74377102673076e-002
1.38995263121334e+001	1.00354625107329e-002    4.75476358738483e-002
1.39315680294529e+001	1.00597725465360e-002    4.76578185301028e-002
1.39636836105593e+001	1.00841985290285e-002    4.77682588501672e-002
1.39958732257261e+001	1.01087410282183e-002    4.78789574496663e-002
1.40281370456195e+001	1.01334006171180e-002    4.79899149457319e-002
1.40604752412990e+001	1.01581778716879e-002    4.81011319570349e-002
1.40928879842186e+001	1.01830733708834e-002    4.82126091037746e-002
1.41253754462274e+001	1.02080876966568e-002    4.83243470076879e-002
1.41579377995707e+001	1.02332214340088e-002    4.84363462920451e-002
1.41905752168908e+001	1.02584751709476e-002    4.85486075816694e-002
1.42232878712281e+001	1.02838494985806e-002    4.86611315029158e-002
1.42560759360218e+001	1.03093450110559e-002    4.87739186837035e-002
1.42889395851109e+001	1.03349623056385e-002    4.88869697534960e-002
1.43218789927353e+001	1.03607019827139e-002    4.90002853433130e-002
1.43548943335364e+001	1.03865646457616e-002    4.91138660857443e-002
1.43879857825583e+001	1.04125509014282e-002    4.92277126149408e-002
1.44211535152486e+001	1.04386613595285e-002    4.93418255666188e-002
1.44543977074592e+001	1.04648966330630e-002    4.94562055780669e-002
1.44877185354475e+001	1.04912573382134e-002    4.95708532881574e-002
1.45211161758773e+001	1.05177440943932e-002    4.96857693373356e-002
1.45545908058195e+001	1.05443575242802e-002    4.98009543676241e-002
1.45881426027534e+001	1.05710982537548e-002    4.99164090226491e-002
1.46217717445671e+001	1.05979669120372e-002    5.00321339476068e-002
1.46554784095590e+001	1.06249641315567e-002    5.01481297893163e-002
1.46892627764385e+001	1.06520905481441e-002    5.02643971961644e-002
1.47231250243271e+001	1.06793468009025e-002    5.03809368181613e-002
1.47570653327588e+001	1.07067335323080e-002    5.04977493069142e-002
1.47910838816819e+001	1.07342513882072e-002    5.06148353156411e-002
1.48251808514594e+001	1.07619010178337e-002    5.07321954991727e-002
1.48593564228699e+001	1.07896830738055e-002    5.08498305139662e-002
1.48936107771090e+001	1.08175982122422e-002    5.09677410180741e-002
1.49279440957898e+001	1.08456470926188e-002    5.10859276712054e-002
1.49623565609442e+001	1.08738303779336e-002    5.12043911346770e-002
1.49968483550236e+001	1.09021487346556e-002    5.13231320714457e-002
1.50314196609001e+001	1.09306028327780e-002    5.14421511460971e-002
1.50660706618673e+001	1.09591933458011e-002    5.15614490248644e-002
1.51008015416413e+001	1.09879209507937e-002    5.16810263756165e-002
1.51356124843619e+001	1.10167863283907e-002    5.18008838678708e-002
1.51705036745932e+001	1.10457901627890e-002    5.19210221728037e-002
1.52054752973248e+001	1.10749331418336e-002    5.20414419632352e-002
1.52405275379728e+001	1.11042159569834e-002    5.21621439136472e-002
1.52756605823806e+001	1.11336393033320e-002    5.22831287001906e-002
1.53108746168202e+001	1.11632038797293e-002    5.24043970006539e-002
1.53461698279928e+001	1.11929103885946e-002    5.25259494945369e-002
1.53815464030302e+001	1.12227595361646e-002    5.26477868629786e-002
1.54170045294954e+001	1.12527520323654e-002    5.27699097888099e-002
1.54525443953840e+001	1.12828885909068e-002    5.28923189565366e-002
1.54881661891247e+001	1.13131699292412e-002    5.30150150523581e-002
1.55238700995807e+001	1.13435967686900e-002    5.31379987641430e-002
1.55596563160506e+001	1.13741698343501e-002    5.32612707814669e-002
1.55955250282694e+001	1.14048898551893e-002    5.33848317955917e-002
1.56314764264094e+001	1.14357575640449e-002    5.35086824994804e-002
1.56675107010813e+001	1.14667736976056e-002    5.36328235878121e-002
1.57036280433354e+001	1.14979389965761e-002    5.37572557569382e-002
1.57398286446620e+001	1.15292542055007e-002    5.38819797049528e-002
1.57761126969933e+001	1.15607200729211e-002    5.40069961316522e-002
1.58124803927037e+001	1.15923373513898e-002    5.41323057385420e-002
1.58489319246110e+001	1.16241067974528e-002    5.42579092288520e-002
1.58854674859776e+001	1.16560291716406e-002    5.43838073075540e-002
1.59220872705115e+001	1.16881052386349e-002    5.45100006813148e-002
1.59587914723672e+001	1.17203357671219e-002    5.46364900585596e-002
1.59955802861465e+001	1.17527215299512e-002    5.47632761494263e-002
1.60324539069002e+001	1.17852633040282e-002    5.48903596658185e-002
1.60694125301286e+001	1.18179618704502e-002    5.50177413213669e-002
1.61064563517825e+001	1.18508180145229e-002    5.51454218314407e-002
1.61435855682647e+001	1.18838325257025e-002    5.52734019131726e-002
1.61808003764305e+001	1.19170061977055e-002    5.54016822854383e-002
1.62181009735891e+001	1.19503398284922e-002    5.55302636688741e-002
1.62554875575047e+001	1.19838342202883e-002    5.56591467858785e-002
1.62929603263970e+001	1.20174901796555e-002    5.57883323606033e-002
