Freq.	V(n011)
1.00000000000000e+000	9.97598140066661e-001    -1.08920179776581e-002
1.00230523807790e+000	9.97587578787734e-001    -1.09147622874017e-002
1.00461579027840e+000	9.97576961868365e-001    -1.09375937290789e-002
1.00693166885180e+000	9.97566309359956e-001    -1.09604196815587e-002
1.00925288607668e+000	9.97555606839275e-001    -1.09833012602563e-002
1.01157945425990e+000	9.97544867527675e-001    -1.10061936350694e-002
1.01391138573668e+000	9.97534067796885e-001    -1.10291875636081e-002
1.01624869287070e+000	9.97523240614051e-001    -1.10521455280546e-002
1.01859138805412e+000	9.97512351445975e-001    -1.10752041416672e-002
1.02093948370768e+000	9.97501428079292e-001    -1.10982574376518e-002
1.02329299228075e+000	9.97490463832345e-001    -1.11213362006493e-002
1.02565192625141e+000	9.97479440807143e-001    -1.11444998808436e-002
1.02801629812647e+000	9.97468374077880e-001    -1.11676875048308e-002
1.03038612044162e+000	9.97457274105726e-001    -1.11908699663461e-002
1.03276140576140e+000	9.97446106329485e-001    -1.12141667894985e-002
1.03514216667934e+000	9.97434912461061e-001    -1.12374276572151e-002
1.03752841581801e+000	9.97423659133470e-001    -1.12607726780086e-002
1.03992016582906e+000	9.97412369613084e-001    -1.12841107673868e-002
1.04231742939330e+000	9.97401029714201e-001    -1.13075031333493e-002
1.04472021922080e+000	9.97389638643263e-001    -1.13309493363467e-002
1.04712854805090e+000	9.97378199320911e-001    -1.13544336304804e-002
1.04954242865232e+000	9.97366721707878e-001    -1.13779266798750e-002
1.05196187382322e+000	9.97355191273509e-001    -1.14014724630374e-002
1.05438689639126e+000	9.97343609179914e-001    -1.14250714720420e-002
1.05681750921366e+000	9.97331985865238e-001    -1.14486775284399e-002
1.05925372517729e+000	9.97320314420450e-001    -1.14723212992813e-002
1.06169555719872e+000	9.97308587217739e-001    -1.14960330646428e-002
1.06414301822431e+000	9.97296818488509e-001    -1.15197514670360e-002
1.06659612123026e+000	9.97284996853218e-001    -1.15435220065488e-002
1.06905487922266e+000	9.97273121052022e-001    -1.15673610619863e-002
1.07151930523761e+000	9.97261205882911e-001    -1.15911904394675e-002
1.07398941234124e+000	9.97249250161017e-001    -1.16150265762637e-002
1.07646521362983e+000	9.97237225195333e-001    -1.16389746840777e-002
1.07894672222983e+000	9.97225158775718e-001    -1.16629288802644e-002
1.08143395129794e+000	9.97213044528817e-001    -1.16869201156239e-002
1.08392691402120e+000	9.97200881484893e-001    -1.17109306559115e-002
1.08642562361706e+000	9.97188662055997e-001    -1.17350079488430e-002
1.08893009333343e+000	9.97176398319041e-001    -1.17591066175868e-002
1.09144033644876e+000	9.97164078420977e-001    -1.17832548106024e-002
1.09395636627209e+000	9.97151711960168e-001    -1.18074230582605e-002
1.09647819614318e+000	9.97139295669888e-001    -1.18316267027589e-002
1.09900583943252e+000	9.97126833301127e-001    -1.18558504646984e-002
1.10153930954141e+000	9.97114308571536e-001    -1.18801544300989e-002
1.10407861990207e+000	9.97101736170742e-001    -1.19044774692564e-002
1.10662378397766e+000	9.97089120594445e-001    -1.19288046236703e-002
1.10917481526240e+000	9.97076439342294e-001    -1.19532271676648e-002
1.11173172728159e+000	9.97063718611761e-001    -1.19776383607134e-002
1.11429453359173e+000	9.97050944533009e-001    -1.20020824278120e-002
1.11686324778056e+000	9.97038104690974e-001    -1.20266214915339e-002
1.11943788346715e+000	9.97025231931593e-001    -1.20511179590544e-002
1.12201845430196e+000	9.97012296399974e-001    -1.20756936100437e-002
1.12460497396692e+000	9.96999305148374e-001    -1.21003176264649e-002
1.12719745617551e+000	9.96986264568618e-001    -1.21249588908461e-002
1.12979591467280e+000	9.96973173038056e-001    -1.21496336211251e-002
1.13240036323556e+000	9.96960028016000e-001    -1.21743403691566e-002
1.13501081567231e+000	9.96946823498230e-001    -1.21991102652318e-002
1.13762728582343e+000	9.96933572183120e-001    -1.22238810783128e-002
1.14024978756117e+000	9.96920259548424e-001    -1.22487310728916e-002
1.14287833478977e+000	9.96906893465347e-001    -1.22735954086936e-002
1.14551294144553e+000	9.96893485500414e-001    -1.22984629765523e-002
1.14815362149688e+000	9.96880012006639e-001    -1.23234071171445e-002
1.15080038894443e+000	9.96866483500985e-001    -1.23483816307029e-002
1.15345325782109e+000	9.96852910037513e-001    -1.23733573782829e-002
1.15611224219210e+000	9.96839267618559e-001    -1.23984247399230e-002
1.15877735615512e+000	9.96825577926749e-001    -1.24234918337882e-002
1.16144861384034e+000	9.96811834880340e-001    -1.24485897422467e-002
1.16412602941049e+000	9.96798029516896e-001    -1.24737480000901e-002
1.16680961706096e+000	9.96784174976084e-001    -1.24989218546415e-002
1.16949939101987e+000	9.96770263921918e-001    -1.25241244338134e-002
1.17219536554813e+000	9.96756294965576e-001    -1.25493721309199e-002
1.17489755493953e+000	9.96742264571303e-001    -1.25746801854295e-002
1.17760597352080e+000	9.96728181042274e-001    -1.26000011474780e-002
1.18032063565173e+000	9.96714051233404e-001    -1.26253214225682e-002
1.18304155572516e+000	9.96699842421231e-001    -1.26507611177096e-002
1.18576874816716e+000	9.96685595008954e-001    -1.26761695309805e-002
1.18850222743702e+000	9.96671274403375e-001    -1.27016657140124e-002
1.19124200802737e+000	9.96656911259556e-001    -1.27271454744279e-002
1.19398810446427e+000	9.96642490908468e-001    -1.27526524159619e-002
1.19674053130724e+000	9.96628008117537e-001    -1.27782181507667e-002
1.19949930314938e+000	9.96613468231802e-001    -1.28038108745796e-002
1.20226443461741e+000	9.96598863847732e-001    -1.28294609422357e-002
1.20503594037179e+000	9.96584211226731e-001    -1.28551080628397e-002
1.20781383510678e+000	9.96569486896768e-001    -1.28808428803148e-002
1.21059813355048e+000	9.96554712679207e-001    -1.29065735376398e-002
1.21338885046497e+000	9.96539868498755e-001    -1.29323752564231e-002
1.21618600064636e+000	9.96524986305406e-001    -1.29581446032253e-002
1.21898959892486e+000	9.96510032467223e-001    -1.29839837466711e-002
1.22179966016487e+000	9.96495022419123e-001    -1.30098493295721e-002
1.22461619926504e+000	9.96479941134157e-001    -1.30357846784115e-002
1.22743923115840e+000	9.96464816546045e-001    -1.30617014340707e-002
1.23026877081238e+000	9.96449619723564e-001    -1.30876871192982e-002
1.23310483322890e+000	9.96434362332469e-001    -1.31137135297652e-002
1.23594743344451e+000	9.96419049902721e-001    -1.31397489264338e-002
1.23879658653036e+000	9.96403672031398e-001    -1.31658393312041e-002
1.24165230759241e+000	9.96388229931277e-001    -1.31919679057572e-002
1.24451461177138e+000	9.96372735027168e-001    -1.32181063542564e-002
1.24738351424294e+000	9.96357180381841e-001    -1.32442678400838e-002
1.25025903021771e+000	9.96341558666764e-001    -1.32704828463011e-002
1.25314117494141e+000	9.96325874463229e-001    -1.32967364232708e-002
1.25602996369487e+000	9.96310125799410e-001    -1.33230272840812e-002
1.25892541179416e+000	9.96294323835432e-001    -1.33493269795091e-002
1.26182753459066e+000	9.96278452466117e-001    -1.33756781592936e-002
1.26473634747115e+000	9.96262517380871e-001    -1.34020665972385e-002
1.26765186585784e+000	9.96246527208944e-001    -1.34284623726857e-002
1.27057410520854e+000	9.96230472376367e-001    -1.34548945064271e-002
1.27350308101666e+000	9.96214345066249e-001    -1.34813931566360e-002
1.27643880881134e+000	9.96198156843299e-001    -1.35079126336036e-002
1.27938130415752e+000	9.96181913503099e-001    -1.35344387848426e-002
1.28233058265602e+000	9.96165606130355e-001    -1.35610010906515e-002
1.28528665994361e+000	9.96149228319376e-001    -1.35876129828151e-002
1.28824955169313e+000	9.96132785479739e-001    -1.36142600534759e-002
1.29121927361353e+000	9.96116287126027e-001    -1.36409129396430e-002
1.29419584144998e+000	9.96099707538697e-001    -1.36676433878975e-002
1.29717927098395e+000	9.96083069624242e-001    -1.36943951255481e-002
1.30016957803328e+000	9.96066378488314e-001    -1.37211360510730e-002
1.30316677845229e+000	9.96049607578437e-001    -1.37479549043413e-002
1.30617088813183e+000	9.96032774653582e-001    -1.37747922773779e-002
1.30918192299940e+000	9.96015885247287e-001    -1.38016338587398e-002
1.31219989901920e+000	9.95998920135666e-001    -1.38285378330575e-002
1.31522483219223e+000	9.95981893058757e-001    -1.38554598773562e-002
1.31825673855640e+000	9.95964799424028e-001    -1.38824144789673e-002
1.32129563418657e+000	9.95947639863443e-001    -1.39094018887237e-002
1.32434153519466e+000	9.95930411980109e-001    -1.39364204367884e-002
1.32739445772973e+000	9.95913116434720e-001    -1.39634703230456e-002
1.33045441797808e+000	9.95895759913314e-001    -1.39905380518503e-002
1.33352143216332e+000	9.95878322184703e-001    -1.40176810644374e-002
